Price,Condition,PropertyType,PropertySubType,Bedrooms,Bathrooms,AreaNet,AreaGross,Parking,Latitude,Longitude,Parish,Price_Sq._M.
650000,New,Homes,Apartment,4,3,173,346,0,38.7685,-9.1849,Carnide,3027
1299000,New,Homes,Apartment,3,5,185,370,0,38.7323,-9.1521,Avenidas_Novas,3841
490000,New,Homes,Apartment,2,3,74,148,0,38.7098,-9.1497,Estrela,4005
490000,New,Homes,Apartment,2,3,74,148,0,38.7098,-9.1497,Estrela,4005
4150000,New,Homes,Duplex,6,5,336,672,0,38.7116,-9.1303,Santa_Maria_Maior,4807
1650000,New,Homes,Apartment,6,5,359,718,0,38.7719,-9.1553,Lumiar,2927
1450000,New,Homes,Duplex,5,4,225,450,0,38.7451,-9.179,Sao_Domingos_de_Benfica,3412
560000,As_New,Homes,Apartment,4,2,170,340,0,38.6987,-9.2244,Belem,3542
199900,As_New,Homes,Apartment,1,1,45,90,0,38.7066,-9.1744,Alcantara,3125
1499000,As_New,Homes,Apartment,1,1,135,270,0,38.7115,-9.1417,Santa_Maria_Maior,4807
1500000,As_New,Homes,Apartment,4,4,245,490,0,38.7536,-9.15,Alvalade,3623
295000,As_New,Homes,Apartment,2,1,91,182,0,38.7271,-9.1207,Penha_de_Franca,2973
375000,As_New,Homes,Apartment,3,2,100,200,0,38.7219,-9.1349,Arroios,3277
430000,As_New,Homes,Apartment,1,2,75,150,0,38.711,-9.1685,Estrela,4005
400000,As_New,Homes,Apartment,2,2,104,208,0,38.7437,-9.1296,Areeiro,3312
520000,As_New,Homes,Apartment,3,3,126,252,0,38.7487,-9.142,Alvalade,3623
315000,As_New,Homes,Duplex,3,2,84,168,0,38.7179,-9.1235,Sao_Vicente,3402
665000,As_New,Homes,Apartment,2,3,113,226,0,38.7667,-9.0969,Parque_das_Nacoes,4162
320000,As_New,Homes,Apartment,3,3,87,174,0,38.7608,-9.1103,Olivais,2463
175000,As_New,Homes,Apartment,1,1,23,46,0,38.7027,-9.2,Ajuda,3137
197500,As_New,Homes,Apartment,1,1,26,52,0,38.7027,-9.2,Ajuda,3137
848000,As_New,Homes,Apartment,4,3,178,356,0,38.7112,-9.208,Belem,3542
190000,As_New,Homes,Apartment,1,1,50,100,0,38.7173,-9.1286,Sao_Vicente,3402
579000,As_New,Homes,Apartment,3,3,144,288,0,38.776,-9.0967,Parque_das_Nacoes,4162
475000,As_New,Homes,Apartment,3,2,72,144,0,38.7165,-9.1472,Santo_Antonio,5340
799000,As_New,Homes,Apartment,2,2,145,290,0,38.7455,-9.1472,Avenidas_Novas,3841
230000,As_New,Homes,Apartment,1,1,50,100,0,38.7654,-9.1807,Carnide,3027
479000,As_New,Homes,Apartment,3,3,141,282,0,38.7748,-9.1142,Olivais,2463
338000,As_New,Homes,Apartment,1,1,63,126,0,38.7818,-9.0986,Parque_das_Nacoes,4162
532000,As_New,Homes,Apartment,3,2,88,176,0,38.747,-9.1036,Marvila,2881
700000,As_New,Homes,Apartment,2,1,98,196,0,38.7168,-9.1325,Sao_Vicente,3402
565000,As_New,Homes,Apartment,4,3,177,354,0,38.7766,-9.1497,Lumiar,2927
570000,As_New,Homes,Apartment,3,2,100,200,0,38.752,-9.1474,Alvalade,3623
525000,As_New,Homes,Apartment,3,2,102,204,0,38.7127,-9.145,Misericordia,5112
285000,As_New,Homes,Apartment,2,1,85,170,0,38.7476,-9.1156,Marvila,2881
287000,As_New,Homes,Apartment,2,1,45,90,0,38.7116,-9.1286,Santa_Maria_Maior,4807
395000,As_New,Homes,Duplex,2,2,82,164,0,38.7234,-9.1368,Arroios,3277
248000,As_New,Homes,Apartment,1,1,30,60,0,38.7116,-9.1286,Santa_Maria_Maior,4807
660000,As_New,Homes,Apartment,3,2,90,180,0,38.7176,-9.1472,Santo_Antonio,5340
1390000,As_New,Homes,Apartment,3,4,192,384,0,38.6963,-9.2202,Belem,3542
161000,As_New,Homes,Apartment,1,1,42,84,0,38.7094,-9.1673,Estrela,4005
580000,As_New,Homes,Apartment,2,1,84,168,0,38.716,-9.1368,Santa_Maria_Maior,4807
490000,As_New,Homes,Apartment,3,2,130,260,0,38.7197,-9.1595,Campo_de_Ourique,3859
795000,As_New,Homes,Apartment,3,3,141,282,0,38.7787,-9.1101,Olivais,2463
430000,As_New,Homes,Apartment,2,1,65,130,0,38.7038,-9.1994,Ajuda,3137
770000,As_New,Homes,Apartment,4,3,164,328,0,38.7694,-9.0955,Parque_das_Nacoes,4162
375000,As_New,Homes,Apartment,3,2,91,182,1,38.7549,-9.1779,Sao_Domingos_de_Benfica,3412
238000,As_New,Homes,Apart_Hotel,0,1,34,68,0,38.7534,-9.1808,Sao_Domingos_de_Benfica,3412
359000,As_New,Homes,Apartment,2,2,83,166,0,38.7899,-9.0996,Parque_das_Nacoes,4162
350000,As_New,Homes,Apartment,3,2,130,260,0,38.7538,-9.2005,Benfica,2727
225000,As_New,Homes,Apartment,2,1,50,100,0,38.7055,-9.1886,Alcantara,3125
315000,As_New,Homes,Apartment,3,2,59,118,0,38.7235,-9.1419,Santo_Antonio,5340
620000,As_New,Homes,Duplex,3,3,120,240,0,38.7624,-9.0983,Parque_das_Nacoes,4162
345000,As_New,Homes,Apartment,2,1,70,140,0,38.7087,-9.1607,Estrela,4005
210000,As_New,Homes,Apartment,1,1,50,100,0,38.7053,-9.1934,Ajuda,3137
2200000,As_New,Homes,Apartment,4,5,212,424,0,38.7319,-9.152,Avenidas_Novas,3841
1190000,As_New,Homes,Duplex,5,4,153,306,0,38.732,-9.1472,Avenidas_Novas,3841
319000,As_New,Homes,Apartment,2,2,90,180,0,38.7246,-9.1168,Penha_de_Franca,2973
690000,As_New,Homes,Apartment,2,2,182,364,0,38.7077,-9.2127,Belem,3542
790000,As_New,Single_Habitation,Townhouse_Dwelling,6,3,208,416,0,38.7455,-9.2067,Benfica,2727
1200000,As_New,Single_Habitation,Townhouse_Dwelling,2,3,160,320,0,38.6992,-9.2199,Belem,3542
179000,For_Refurbishment,Homes,Apartment,3,1,55,110,0,38.7594,-9.111,Olivais,2463
163500,For_Refurbishment,Homes,Apartment,2,1,65,130,0,38.735,-9.1135,Beato,2534
675000,For_Refurbishment,Homes,Apartment,3,2,130,260,0,38.7086,-9.1671,Estrela,4005
275000,For_Refurbishment,Homes,Apartment,2,1,77,154,0,38.7338,-9.1303,Penha_de_Franca,2973
700000,For_Refurbishment,Homes,Apartment,6,2,150,300,0,38.7262,-9.135,Arroios,3277
160000,For_Refurbishment,Homes,Apartment,2,1,58,116,0,38.7269,-9.1649,Campolide,3036
460000,For_Refurbishment,Homes,Apartment,3,2,103,206,0,38.7453,-9.1472,Alvalade,3623
149500,For_Refurbishment,Homes,Apartment,1,1,50,100,0,38.7328,-9.1282,Penha_de_Franca,2973
204000,For_Refurbishment,Homes,Apartment,2,1,62,124,0,38.7307,-9.1297,Penha_de_Franca,2973
900000,For_Refurbishment,Homes,Apartment,4,2,168,336,0,38.7118,-9.1328,Santa_Maria_Maior,4807
165000,For_Refurbishment,Homes,Apartment,3,1,60,120,0,38.7791,-9.1198,Olivais,2463
198000,For_Refurbishment,Homes,Apartment,2,1,60,120,0,38.7045,-9.1679,Estrela,4005
290000,For_Refurbishment,Homes,Apartment,3,1,75,150,0,38.7177,-9.1342,Santa_Maria_Maior,4807
520000,For_Refurbishment,Homes,Duplex,4,2,130,260,0,38.7093,-9.1665,Estrela,4005
376500,For_Refurbishment,Homes,Apartment,4,3,130,260,0,38.7568,-9.1782,Sao_Domingos_de_Benfica,3412
250000,For_Refurbishment,Homes,Apartment,3,1,83,166,0,38.7125,-9.1564,Estrela,4005
125500,For_Refurbishment,Homes,Apartment,2,1,70,140,0,38.7269,-9.1649,Campolide,3036
187000,For_Refurbishment,Homes,Apartment,3,1,85,170,0,38.7619,-9.1127,Olivais,2463
267000,For_Refurbishment,Homes,Apartment,3,2,83,166,0,38.7321,-9.1284,Penha_de_Franca,2973
249000,For_Refurbishment,Homes,Apartment,4,2,102,204,0,38.7544,-9.1161,Marvila,2881
430000,For_Refurbishment,Homes,Apartment,3,2,107,214,0,38.7466,-9.1348,Alvalade,3623
320000,For_Refurbishment,Homes,Apartment,3,1,80,160,0,38.7177,-9.1342,Santa_Maria_Maior,4807
275000,For_Refurbishment,Homes,Apartment,2,1,54,108,0,38.7062,-9.1638,Estrela,4005
450000,For_Refurbishment,Homes,Apartment,5,2,136,272,0,38.7362,-9.1305,Penha_de_Franca,2973
298000,For_Refurbishment,Homes,Apartment,3,2,77,154,0,38.7216,-9.1436,Santo_Antonio,5340
235000,For_Refurbishment,Homes,Apartment,2,1,47,94,0,38.7172,-9.1632,Campo_de_Ourique,3859
199900,For_Refurbishment,Homes,Apartment,2,1,56,112,0,38.7166,-9.1385,Arroios,3277
189000,For_Refurbishment,Homes,Apartment,1,1,51,102,0,38.7086,-9.1555,Estrela,4005
170000,For_Refurbishment,Homes,Apartment,2,1,55,110,0,38.7696,-9.1133,Olivais,2463
160000,For_Refurbishment,Homes,Apartment,1,1,51,102,0,38.7245,-9.1203,Penha_de_Franca,2973
375000,For_Refurbishment,Homes,Apartment,4,1,112,224,0,38.7305,-9.1396,Arroios,3277
325000,For_Refurbishment,Homes,Apartment,3,1,103,206,0,38.7297,-9.1397,Arroios,3277
270000,For_Refurbishment,Homes,Apartment,2,1,100,200,0,38.7304,-9.1395,Arroios,3277
270000,For_Refurbishment,Homes,Apartment,2,1,93,186,0,38.7297,-9.1397,Arroios,3277
630000,For_Refurbishment,Homes,Apartment,4,2,179,358,0,38.7265,-9.1443,Santo_Antonio,5340
235000,For_Refurbishment,Homes,Apartment,2,2,51,102,0,38.7126,-9.1265,Santa_Maria_Maior,4807
480000,For_Refurbishment,Homes,Apartment,5,1,135,270,0,38.7365,-9.1417,Avenidas_Novas,3841
240000,For_Refurbishment,Homes,Apartment,1,1,54,108,0,38.7227,-9.1456,Santo_Antonio,5340
450000,For_Refurbishment,Homes,Apartment,3,2,113,226,0,38.7589,-9.1695,Lumiar,2927
205000,For_Refurbishment,Homes,Apartment,2,1,46,92,0,38.7281,-9.1409,Arroios,3277
196500,For_Refurbishment,Homes,Apartment,2,1,66,132,0,38.746,-9.1769,Benfica,2727
245000,For_Refurbishment,Homes,Apartment,3,1,75,150,0,38.7177,-9.1341,Santa_Maria_Maior,4807
486000,For_Refurbishment,Single_Habitation,Townhouse_Dwelling,2,1,90,180,0,38.7694,-9.1138,Olivais,2463
375000,For_Refurbishment,Single_Habitation,Dwelling,4,3,121,242,0,38.703,-9.2044,Belem,3542
850000,For_Refurbishment,Single_Habitation,Townhouse_Dwelling,2,2,70,140,0,38.7265,-9.168,Campolide,3036
